48 Well Classic Well / Electrode,CytoView Well / Electrode,ChannelAchk,ChannelIndex
B5_32,C523,3,37
B5_41,C534,3,38
C5_32,C524,3,39
C6_12,C542,3,40
B5_21,C543,3,41
B5_11,C532,3,42
C6_14,C544,3,43
A6_22,C521,3,44
A6_21,C541,3,45
A6_11,C531,3,46
C6_24,C522,3,47
A6_23,A614,3,48
A6_12,A612,3,49
A6_13,A613,3,50
C6_34,A611,3,51
A6_34,A633,3,52
A6_14,A623,3,53
A6_24,A634,3,54
C6_44,A624,3,55
A6_43,A642,3,56
A6_44,A643,3,57
A6_33,A632,3,58
C6_22,A644,3,59
A6_41,A621,3,60
A6_42,A641,3,61
A6_32,A631,3,62
C6_11,A622,3,63
C6_23,B614,4,0
A6_31,B612,4,1
C6_13,B613,4,2
C6_21,B611,4,3
B6_13,B633,4,4
B6_22,B623,4,5
B6_12,B634,4,6
C6_31,B624,4,7
B6_24,B642,4,8
B6_23,B643,4,9
B6_14,B632,4,10
C6_41,B644,4,11
B6_33,B621,4,12
B6_34,B641,4,13
B6_44,B631,4,14
C6_33,B622,4,15
B6_32,C614,4,16
B6_43,C612,4,17
B6_42,C613,4,18
C6_43,C611,4,19
B6_21,C633,4,20
B6_41,C623,4,21
B6_31,C634,4,22
C6_42,C624,4,23
A7_22,C642,4,24
A7_21,C643,4,25
A7_11,C632,4,26
C6_32,C644,4,27
A7_23,C621,4,28
A7_12,C641,4,29
A7_13,C631,4,30
C7_14,C622,4,31
A7_34,A714,4,32
A7_14,A712,4,33
A7_24,A713,4,34
C7_24,A711,4,35
A7_43,A733,4,36
A7_44,A723,4,37
A7_33,A734,4,38
C7_34,A724,4,39
A7_41,A742,4,40
A7_42,A743,4,41
A7_32,A732,4,42
C7_44,A744,4,43
C7_22,A721,4,44
A7_31,A741,4,45
B6_11,A731,4,46
C7_11,A722,4,47
C7_23,B714,4,48
C7_12,B712,4,49
C7_13,B713,4,50
C7_21,B711,4,51
B7_13,B733,4,52
B7_22,B723,4,53
B7_12,B734,4,54
C7_31,B724,4,55
B7_24,B742,4,56
B7_23,B743,4,57
B7_14,B732,4,58
C7_41,B744,4,59
B7_33,B721,4,60
B7_34,B741,4,61
B7_44,B731,4,62
C7_42,B722,4,63
B7_32,C714,5,0
B7_43,C712,5,1
B7_42,C713,5,2
C7_43,C711,5,3
A8_22,C733,5,4
A8_21,C723,5,5
A8_11,C734,5,6
C7_33,C724,5,7
A8_23,C742,5,8
A8_12,C743,5,9
A8_13,C732,5,10
C7_32,C744,5,11
A8_34,C721,5,12
A8_14,C741,5,13
A8_24,C731,5,14
C8_23,C722,5,15
A8_43,A814,5,16
A8_44,A812,5,17
A8_33,A813,5,18
C8_13,A811,5,19
A8_41,A833,5,20
A8_42,A823,5,21
A8_32,A834,5,22
C8_12,A824,5,23
B7_31,A842,5,24
A8_31,A843,5,25
B7_41,A832,5,26
C8_22,A844,5,27
B8_22,A821,5,28
B7_21,A841,5,29
B7_11,A831,5,30
C8_11,A822,5,31
B8_23,B814,5,32
B8_12,B812,5,33
B8_13,B813,5,34
C8_21,B811,5,35
B8_34,B833,5,36
B8_14,B823,5,37
B8_24,B834,5,38
C8_31,B824,5,39
B8_43,B842,5,40
B8_44,B843,5,41
B8_33,B832,5,42
C8_41,B844,5,43
B8_41,B821,5,44
B8_42,B841,5,45
B8_32,B831,5,46
C8_33,B822,5,47
B8_11,C814,5,48
B8_31,C812,5,49
B8_21,C813,5,50
C8_43,C811,5,51
C8_34,C833,5,52
C8_14,C823,5,53
C8_24,C834,5,54
C8_42,C824,5,55
C5_12,C842,5,56
C8_44,C843,5,57
C5_22,C832,5,58
C8_32,C844,5,59
C4_34,C821,5,60
C4_44,C841,5,61
C5_24,C831,5,62
C5_14,C822,5,63
E2_22,D241,6,0
E2_21,D243,6,1
E2_11,D242,6,2
D2_13,D244,6,3
E2_23,D222,6,4
E2_12,D232,6,5
E2_13,D221,6,6
D2_12,D231,6,7
F1_33,D213,6,8
F1_34,D212,6,9
F1_44,D223,6,10
D2_22,D211,6,11
F1_32,D234,6,12
F1_43,D214,6,13
F1_42,D224,6,14
D2_23,D233,6,15
F1_21,F141,6,16
F1_41,F143,6,17
F1_31,F142,6,18
D1_32,F144,6,19
F1_12,F122,6,20
F1_11,F132,6,21
F1_22,F121,6,22
D1_42,F131,6,23
F1_14,F113,6,24
F1_13,F112,6,25
F1_23,F123,6,26
D1_43,F111,6,27
E2_24,F134,6,28
F1_24,F114,6,29
E2_14,F124,6,30
D1_33,F133,6,31
E1_33,E141,6,32
E2_34,E143,6,33
E2_44,E142,6,34
D1_44,E144,6,35
E1_32,E122,6,36
E1_43,E132,6,37
E1_42,E121,6,38
D1_34,E131,6,39
E1_21,E113,6,40
E1_41,E112,6,41
E1_31,E123,6,42
D1_24,E111,6,43
E1_12,E134,6,44
E1_11,E114,6,45
E1_22,E124,6,46
D1_14,E133,6,47
E1_14,D141,6,48
E1_13,D143,6,49
E1_23,D142,6,50
D1_22,D144,6,51
E1_44,D122,6,52
E1_24,D132,6,53
E1_34,D121,6,54
D1_12,D131,6,55
D1_21,D113,6,56
D1_41,D112,6,57
